dates,cfs
02-Mar-2024,4900000
17-Apr-2024,3000000
27-May-2024,2900000
17-Jul-2024,5100000
04-Sep-2024,900000
31-Oct-2024,1200000
26-Dec-2024,1400000
28-Jan-2025,2600000
17-Mar-2025,5100000
24-Aug-2025,4900000
22-Jan-2026,800000
28-Jul-2026,2700000
19-Jan-2027,3400000
12-Jul-2027,2800000
24-Jan-2028,4100000
23-Jul-2028,4000000
20-Jan-2029,2100000
01-Aug-2029,2900000
08-Feb-2030,500000
06-Aug-2030,6000000
12-Jan-2031,1400000
23-Jun-2031,1000000
04-Jan-2032,2500000
03-Jun-2032,1600000
24-Nov-2032,3200000
01-May-2033,2400000
16-Nov-2033,5800000
21-May-2034,5600000
12-Nov-2034,700000
05-May-2035,4600000
05-Oct-2035,2000000
06-Apr-2036,2800000
05-Sep-2036,3500000
05-Feb-2037,5700000
31-Jul-2037,2800000
01-Jan-2038,6000000
11-Jul-2038,2100000
18-Jan-2039,4400000
23-Jul-2039,4200000
27-Dec-2039,3500000
27-Jun-2040,4400000
20-Dec-2040,4200000
07-Jul-2041,1400000
06-Jan-2042,1200000
